StartX;StartY;MaxTripDistance;AgentExploreRadius
19;24;5.0;2.0
14;14;5.0;2.0
26;4;5.0;2.0
2;17;5.0;2.0
6;24;5.0;2.0
13;2;5.0;2.0
4;7;5.0;2.0
14;17;5.0;2.0
5;17;5.0;2.0
22;25;5.0;2.0
20;5;5.0;2.0
13;28;5.0;2.0
1;19;5.0;2.0
23;23;5.0;2.0
6;15;5.0;2.0
12;2;5.0;2.0
5;18;5.0;2.0
1;25;5.0;2.0
26;24;5.0;2.0
28;22;5.0;2.0
6;12;5.0;2.0
23;15;5.0;2.0
19;15;5.0;2.0
24;13;5.0;2.0
12;20;5.0;2.0
18;28;5.0;2.0
28;5;5.0;2.0
24;15;5.0;2.0
28;11;5.0;2.0
15;10;5.0;2.0
2;2;5.0;2.0
3;26;5.0;2.0
8;9;5.0;2.0
12;4;5.0;2.0
16;13;5.0;2.0
12;24;5.0;2.0
27;1;5.0;2.0
25;27;5.0;2.0
28;17;5.0;2.0
16;28;5.0;2.0
16;16;5.0;2.0
21;16;5.0;2.0
10;18;5.0;2.0
8;16;5.0;2.0
22;1;5.0;2.0
18;14;5.0;2.0
3;24;5.0;2.0
13;23;5.0;2.0
7;20;5.0;2.0
23;12;5.0;2.0
